RecordId,Group,File,Format,Bytes,Sha256
D0001,01_method_current,data/01_method_current/D0001.json,JSON,990282,7f5ee8925a757ef640076e663de1b31a40da998d99b8145d1c45e4deb92cd2bc
D0002,01_method_current,data/01_method_current/D0002.json,JSON,2917,59a641a6ceaf21a18bc42e009fb5957e1fb7ab83c1ac97b8e46c3782bb76af9a
D0003,01_method_current,data/01_method_current/D0003.json,JSON,2044,2a12f944517a53d4307cae6ab3413a544a4090cf13aa732330645d886d6befe1
D0004,01_method_current,data/01_method_current/D0004.json,JSON,8607,30b0152446e4265ec8ba4ee37864e62cf4b99a86bade86c5a0f9ec2612b6b218
D0006,01_method_current,data/01_method_current/D0006.json,JSON,176545,dc07c7002a0a90e145b58b17ebe2bbee4056ff4c5c319180240cf9b765a2f487
D0007,01_method_current,data/01_method_current/D0007.json,JSON,5668,cd66133ba3ed759062c15517a34668090becb8004be35de5926bc1ea72a8e184
D0008,01_method_current,data/01_method_current/D0008.csv,CSV,736,af32efe10ca41ba838b3cfb7f005c01546b3f52dbd0b7047c442b259043f6145
D0009,01_method_current,data/01_method_current/D0009.csv,CSV,560,c06e4cf23dfa916299b8ebf7159daf06978f4431587a6be137fb7dce61629040
D0010,01_method_current,data/01_method_current/D0010.json,JSON,12431,10d81c6348c9efe48137ff96d59f3e7dfdae194257e074805eec8652997f0b6f
D0011,01_method_current,data/01_method_current/D0011.json,JSON,12431,10d81c6348c9efe48137ff96d59f3e7dfdae194257e074805eec8652997f0b6f
D0012,01_method_current,data/01_method_current/D0012.json,JSON,89824,39374c4679b8512a83d38e7f694917b0cd94186c7e189422834770bfc1a2a5fe
D0013,01_method_current,data/01_method_current/D0013.json,JSON,15420,465c1683582b87de45e871b6007974a58becc822cc87e73722536dba9fb0fb62
D0014,01_method_current,data/01_method_current/D0014.json,JSON,335591,fc0f4931229371dd12707a6c21c44c9fa16ce1460b3f6a055f697ee5aaccc755
D0015,01_method_current,data/01_method_current/D0015.json,JSON,3805,7a9f08b0604c0dbd068defd03eb82fe67071779a9b3272d96f35cdec02ab50cd
D0016,01_method_current,data/01_method_current/D0016.json,JSON,1258,2e866a4b69b5fb9a0b337ea4ce58b111a40626d230199eafa53d80eb923fba57
D0017,01_method_current,data/01_method_current/D0017.json,JSON,23119,82b469d0e174326be3331a277771608968f8c461fc3af57bc10cf73f36b25cf6
D0018,01_method_current,data/01_method_current/D0018.json,JSON,2016,338e0a61cd0fb5b32c5be9550732ffbeb87fc5ec386e3b27e4c2da356b12a6f0
D0019,01_method_current,data/01_method_current/D0019.json,JSON,2628,ee4bd92635a0c8a5ee7d3ea1eac1421bfcbef12c4e80f0e7baefe86da9e5ec34
D0020,01_method_current,data/01_method_current/D0020.json,JSON,3992,4001dfb0225411523a29ec947eb8cd5508c7493429206662281c0cd4cae01ace
