Method,TimeStep,EventTime,EventTimeError,PenetrationAtDetection
implicit-midpoint-hermite-event,0.09,0.4285128866410054,0.003973338858600961,0.07898641967773509
implicit-midpoint-hermite-event,0.045,0.4255162336066133,0.000976685824208845,0.09025015993642901
implicit-midpoint-hermite-event,0.0225,0.42478567176503684,0.00024612398263240687,0.010040918229664866
implicit-midpoint-hermite-event,0.01125,0.42460098915227534,6.144136987090709e-05,0.010725143223206036
average-acceleration-newmark,0.09,0.44999999999999996,0.02546045221759552,0.07898641967773545
average-acceleration-newmark,0.045,0.4499999999999999,0.025460452217595464,0.09025015993642946
average-acceleration-newmark,0.0225,0.4275000000000001,0.002960452217595666,0.010040918229665206
average-acceleration-newmark,0.01125,0.4274999999999998,0.0029604522175953885,0.01072514322320499
generalized-alpha,0.09,0.44999999999999996,0.02546045221759552,0.07700027272579195
generalized-alpha,0.045,0.4499999999999999,0.025460452217595464,0.08972894955395701
generalized-alpha,0.0225,0.4275000000000001,0.002960452217595666,0.009914753838532958
generalized-alpha,0.01125,0.4274999999999998,0.0029604522175953885,0.01069335278662633
