WidthRatio,CurvatureWidthProduct,EccentricityRatio,RodSegments,ShellSegments,StiffnessRatio,Geometry,SweepParameter,SweepValue,ShellToRodMeshRatio,FiniteWidthTractionError,CenterlineTractionError,FiniteWidthWarpingError,CenterlineWarpingError,FiniteWidthCurvatureError,CenterlineCurvatureError,FiniteWidthStressError,CenterlineStressError,FiniteWidthForceDefect,FiniteWidthMomentDefect,CenterlineForceDefect,CenterlineMomentDefect,FiniteWidthLocalImprovement
0.025,0.008,0.4,8,9,5.0,single-curvature,WidthRatio,0.025,1.125,0.01766645906423531,0.21833182374596377,0.00043127453005025455,0.9999999999999949,0.8827935019872986,0.9999999999994595,0.8827935019872987,0.9999999999994595,3.469446951953614e-18,5.421010862427522e-20,3.469446951953614e-18,5.421010862427522e-20,12.358550344022447
0.04,0.008,0.4,8,9,5.0,single-curvature,WidthRatio,0.04,1.125,0.01766645906423531,0.21833182374596377,0.0004312745300504531,0.9999999999999949,0.8827935019872989,0.9999999999994595,0.8827935019872989,0.9999999999994595,0.0,0.0,0.0,0.0,12.358550344022447
0.1,0.008,0.4,8,9,5.0,single-curvature,WidthRatio,0.1,1.125,0.01766645906423531,0.21833182374596377,0.00043127453005025455,0.9999999999999949,0.8827935019872986,0.9999999999994595,0.8827935019872987,0.9999999999994595,1.3877787807814457e-17,8.673617379884035e-19,1.3877787807814457e-17,8.673617379884035e-19,12.358550344022447
0.2,0.008,0.4,8,9,5.0,single-curvature,WidthRatio,0.2,1.125,0.01766645906423531,0.21833182374596377,0.00043127453005025455,0.9999999999999949,0.8827935019872986,0.9999999999994595,0.8827935019872987,0.9999999999994595,2.7755575615628914e-17,3.469446951953614e-18,2.7755575615628914e-17,3.469446951953614e-18,12.358550344022447
0.04,0.0,0.4,8,9,5.0,flat,CurvatureWidthProduct,0.0,1.125,0.0174618221719576,0.21711723816675582,0.0004085704446849616,0.9999999999999938,0.8854961832064082,0.9999999999993415,0.8854961832064082,0.9999999999993415,6.938893903907228e-18,2.168404344971009e-19,0.0,0.0,12.433824833895635
0.04,0.008,0.4,8,9,5.0,single-curvature,CurvatureWidthProduct,0.008,1.125,0.01766645906423531,0.21833182374596377,0.0004312745300504531,0.9999999999999949,0.8827935019872989,0.9999999999994595,0.8827935019872989,0.9999999999994595,0.0,0.0,0.0,0.0,12.358550344022447
0.04,0.15,0.4,8,9,5.0,single-curvature,CurvatureWidthProduct,0.15,1.125,0.0212744859732356,0.2397253329661489,0.0008263629503276681,0.9999999999999956,0.8320155962314696,0.9999999999997008,0.8320155962314696,0.9999999999997009,1.3877787807814457e-17,4.336808689942018e-19,0.0,0.0,11.268207996552102
0.04,0.3,0.4,8,9,5.0,single-curvature,CurvatureWidthProduct,0.3,1.125,0.025032567616015456,0.26196276928885553,0.0012318298461648817,0.9999999999999961,0.7721976697470868,0.9999999999995866,0.7721976697470868,0.9999999999995867,6.938893903907228e-18,0.0,0.0,0.0,10.464878126255645
0.04,0.008,0.4,8,9,5.0,double-curvature,CurvatureWidthProduct,0.008,1.125,0.01766645906423531,0.21833182374596377,0.0004312745300504531,0.9999999999999949,0.8827935019872989,0.9999999999994595,0.8827935019872989,0.9999999999994595,0.0,0.0,0.0,0.0,12.358550344022447
0.04,0.15,0.4,8,9,5.0,double-curvature,CurvatureWidthProduct,0.15,1.125,0.0212744859732356,0.2397253329661489,0.0008263629503276681,0.9999999999999956,0.8320155962314696,0.9999999999997008,0.8320155962314696,0.9999999999997009,1.3877787807814457e-17,4.336808689942018e-19,0.0,0.0,11.268207996552102
0.04,0.3,0.4,8,9,5.0,double-curvature,CurvatureWidthProduct,0.3,1.125,0.025032567616015456,0.26196276928885553,0.0012318298461648817,0.9999999999999961,0.7721976697470868,0.9999999999995866,0.7721976697470868,0.9999999999995867,6.938893903907228e-18,0.0,0.0,0.0,10.464878126255645
