CaseId,WidthRatio,CurvatureWidthProduct,EccentricityRatio,RodSegments,ShellSegments,ShellToRodMeshRatio,StiffnessRatio,Geometry,PrimalDof,FiniteWidthKktUnknowns,CenterlineKktUnknowns,FiniteWidthTipMean,CenterlineTipMean,TipResponseRelativeDifference,FiniteWidthTransverseVariation,CenterlineTransverseVariation,TransverseVariationRelativeDifference,FiniteWidthAffineTractionSpan,FiniteWidthConstraintError,CenterlineConstraintError,MaximumLinearResidualInfinityNorm,FiniteWidthKktConditionNumber,CenterlineKktConditionNumber,AssemblySeconds,DiscriminatingResponse,Passed
FWP-001,0.04,0.008,0.4,8,9,1.125,5.0,single-curvature,354,420,372,-0.0008618570383069048,-0.000883116093990962,0.0240727757411641,3.229589059558778e-07,2.6232994575711856e-06,0.8768882808923029,16.8848917365736,3.0743770127970095e-20,5.030615217514878e-20,1.0209498177427001e-14,1776629.7534749734,1791313.660104358,3.9532528999989154,True,True
FWP-002,0.025,0.0,0.0,4,6,1.5,1.0,flat,240,258,234,-0.0033358247850851794,-0.0033547946970254013,0.005654567165329654,2.449511284580212e-06,1.9314363639049128e-05,0.8731767025641025,0.17363911155581002,1.6255298448555196e-19,1.8429584047681457e-19,4.565748820684057e-14,4801019.179419676,4778653.788288324,2.3833171000005677,True,True
FWP-003,0.025,0.008,0.25,8,6,0.75,20.0,double-curvature,264,330,282,-0.0013021327845911738,-0.0013332618894578902,0.023348079708011175,1.7779879287710696e-06,1.3258414661297542e-06,0.25430232417485266,45.10083867816699,7.870420933815468e-20,3.574416659593908e-20,4.5928538749961945e-14,2980819.765150397,3015962.136344779,2.584190599998692,True,True
FWP-004,0.08,0.04,0.0,4,6,1.5,5.0,double-curvature,240,258,234,-0.0012536997029886996,-0.0012808593881524935,0.02120426755271623,1.379976151587843e-06,8.944923717939044e-06,0.8457252185594046,5.133178622499442,6.683236778395158e-20,5.3897641147883315e-20,1.3391197872802962e-14,2668972.4765035845,2710985.0408086125,2.5072570000047563,True,True
FWP-005,0.04,0.04,0.25,8,6,0.75,1.0,single-curvature,264,330,282,-0.0022306966200356508,-0.0022451167517409097,0.006422887225832351,2.185366808419868e-06,7.86575351499838e-06,0.7221668840432361,7.399408402296749,5.046163628091461e-20,1.0249098661777034e-19,3.284503745371037e-14,5514323.121226723,5471258.360890042,2.6719148000047426,True,True
FWP-006,0.08,0.0,0.25,8,9,1.125,20.0,flat,354,420,372,-0.0003743859476784849,-0.0003886964357910576,0.03681661778927458,1.63369996742835e-07,1.095426817240745e-06,0.8508617881435975,3.5761165774792554,2.80579663777987e-20,2.214858808171987e-20,7.81088044178764e-15,1081333.711200366,1105964.0758820728,4.111805900000036,True,True
FWP-007,0.025,0.0,0.4,8,6,0.75,5.0,flat,264,330,282,-0.0014613174721983598,-0.0014765562110283608,0.010320459672434558,1.153779678432283e-06,4.81950869846681e-06,0.7606022209692607,41.96131367639476,1.1005570841593263e-19,6.732588441691603e-20,2.5804228545589503e-14,2236057.1776742605,2228866.8565763375,2.5355125999994925,True,True
FWP-008,0.04,0.008,0.0,4,6,1.5,20.0,single-curvature,240,258,234,-0.0014632591805235138,-0.0014736423477654337,0.007045920781025613,2.0879878931124675e-06,5.733021806776848e-06,0.6357962757713019,12.626499010010592,3.355647889374361e-19,2.7316812548951186e-20,2.4881789337238835e-14,2730585.9982922426,2724151.008310826,2.43436909999582,True,True
FWP-009,0.025,0.04,0.4,8,9,1.125,1.0,double-curvature,354,420,372,-0.0017037420852138465,-0.0018241673099141504,0.06601654576628248,1.4231746781814173e-06,8.43750333793704e-06,0.8313275122769455,11.282684527016007,2.4828239676085402e-20,5.50618978600517e-20,1.9495039263461855e-14,5684145.474545394,5958628.652930974,3.7957036000007065,True,True
FWP-010,0.08,0.008,0.0,8,6,0.75,1.0,single-curvature,264,330,282,-0.0029927296019190306,-0.003014283045630609,0.007150437893621669,1.7697927532579802e-06,1.5954236857910296e-05,0.8890706732625386,0.42610558361693945,2.405573570202213e-19,1.4723484031198871e-19,4.054525812313692e-14,4812875.818455532,4783708.66219858,2.627059599995846,True,True
FWP-011,0.025,0.04,0.4,4,6,1.5,20.0,single-curvature,240,258,234,-0.0003532658806633612,-0.00037759152775197703,0.06442318034369207,6.809518670121329e-07,4.532174751211075e-06,0.8497516304219799,35.936093867037336,2.4774472936269455e-20,3.1966394772111754e-21,2.024960924716093e-14,1282934.3630313654,1342841.4698340467,2.3762655000027735,True,True
FWP-012,0.04,0.0,0.25,4,6,1.5,5.0,flat,240,258,234,-0.0013910541063817865,-0.0014058610787916692,0.010532315484976077,1.413829795078357e-06,6.426773343270256e-06,0.7800093889169379,18.924827373554333,1.7266376820915247e-19,7.666971661631503e-20,2.0054270744029878e-14,2108778.0141962515,2111443.34092699,2.4316332999951555,True,True
FWP-013,0.04,0.008,0.0,8,9,1.125,1.0,double-curvature,354,420,372,-0.0034508240286843525,-0.003496690716396674,0.013117170328288819,1.617239942899328e-06,3.167417210385478e-05,0.948941366562111,2.631803563706931,1.690633450395675e-19,1.727863428050009e-19,4.120623520132913e-14,6291216.124196061,6259272.036558531,4.208784700000251,True,True
FWP-014,0.08,0.0,0.4,4,6,1.5,1.0,flat,240,258,234,-0.0007227435415593565,-0.0007298514229168555,0.009738805919007939,3.346855997384361e-07,2.50892530092244e-07,0.2503635343488878,2.236366134974268,6.140988867593677e-20,2.7794095762394283e-19,7.117028320846597e-15,1216924.2115093956,1218025.7693249418,2.6473079999996116,True,True
