Method,TimeStep,FinalStateError,RelativeEnergyDrift
implicit-midpoint-hermite-event,0.08,0.07758086413461984,9.082905679913624e-16
implicit-midpoint-hermite-event,0.04,0.019613050459701808,9.082905679913624e-16
implicit-midpoint-hermite-event,0.02,0.004917031632369918,2.9843832948287623e-15
implicit-midpoint-hermite-event,0.01,0.0012301209049860678,6.877057157648887e-15
average-acceleration-newmark,0.08,0.0775808641346199,7.785347725640249e-16
average-acceleration-newmark,0.04,0.01961305045970058,6.487789771366875e-16
average-acceleration-newmark,0.02,0.004917031632368981,3.8926738628201246e-16
average-acceleration-newmark,0.01,0.0012301209049872055,9.082905679913624e-16
generalized-alpha,0.08,0.0874901438448552,0.0004289177015611271
generalized-alpha,0.04,0.022226070358307887,5.847380354462135e-05
generalized-alpha,0.02,0.005582896883153141,8.103544384922124e-06
generalized-alpha,0.01,0.0013978832949689006,1.1918975421111764e-06
