Case,Method,TimeStepS,FoldedAngleRad,ReleaseTimeS,CablePretensionN,TrajectoryRelativeError,EventTimeS,EventTimeRelativeError,EventCount,ReferenceEventCount,MissedEventCount,SimultaneousEventCount,GrazingEventCount,NormalImpulse,ImpulseRelativeError,PostimpactNormalVelocity,PostimpactVelocityRelativeError,MaximumConstraintDrift,MaximumRelativeEnergyBalanceError,MaximumImpactMomentumDefect,MaximumImpactRestitutionDefect,RelativeGlobalMomentumBalanceError,PeakInterfaceMomentNm,RuntimeSeconds,AllStepsConverged
isolated-impact,average-acceleration-newmark,0.0125,0.76,0.02,19.70998632374672,0.004606464512112456,0.2950000000000001,0.006363357503515263,1,1,0,0,0,0.08708404416847687,0.003327261968320981,0.9674700838598453,0.003327261968320973,0.006599532963818535,0.005944972170690698,2.7755694590441635e-17,3.3306690738754696e-16,0.002137049789998785,0.002990277311254505,0.10278939999989234,True
isolated-impact,average-acceleration-newmark,0.00625,0.76,0.02,19.70998632374672,0.004376544825898058,0.295,0.006363357503514885,1,1,0,0,0,0.08706247557579544,0.003574113484331232,0.9672304651286585,0.0035741134843315214,0.00707192186333066,0.006391490810514467,2.775581791709845e-17,1.1102230246251565e-16,0.0011358340673525463,0.003034882971606129,0.16887779999524355,True
isolated-impact,average-acceleration-newmark,0.003125,0.76,0.02,19.70998632374672,0.00430044288299592,0.2949999999999995,0.006363357503513181,1,1,0,0,0,0.08705768975682544,0.0036288869545127726,0.9671772965290093,0.003628886954512917,0.007190087449534804,0.0065021762190476205,1.3878406279562125e-17,1.1102230246251565e-16,0.0005763367708615658,0.0028551616964175032,0.2986098999972455,True
isolated-impact,average-acceleration-newmark,0.0015625,0.76,0.02,19.70998632374672,0.000700078627762072,0.29343749999999996,0.0010330431099580563,1,1,0,0,0,0.08732435143828116,0.0005769567103176721,0.9701398047793268,0.0005769567103182628,0.001165609506515055,0.0010362489683526956,2.7755657134804806e-17,3.3306690738754696e-16,7.602967413942824e-05,0.0028321181171601113,0.5077419999943231,True
isolated-impact,generalized-alpha-end-detection,0.0125,0.76,0.02,19.70998632374672,0.004641188471287023,0.2950000000000001,0.006363357503515263,1,1,0,0,0,0.08708513761331271,0.0033147475442513175,0.9674822316094946,0.0033147475442515564,0.006512029221257843,0.005965745177984881,1.3878023507051045e-17,0.0,0.0012129721687527911,0.002961259371903413,0.09375160000490723,True
isolated-impact,generalized-alpha-end-detection,0.00625,0.76,0.02,19.70998632374672,0.0043850701701762425,0.295,0.006363357503514885,1,1,0,0,0,0.0870628290940062,0.0035700674852457838,0.9672343925793907,0.003570067485245826,0.007049971822825982,0.0063945226762723755,1.3878300391834007e-17,2.220446049250313e-16,0.0009886680341062392,0.003000276168885577,0.14156230000662617,True
isolated-impact,generalized-alpha-end-detection,0.003125,0.76,0.02,19.70998632374672,0.004302445313665013,0.2949999999999995,0.006363357503513181,1,1,0,0,0,0.08705775713950052,0.003628115763005675,0.9671780451244949,0.003628115763005543,0.007184579558448795,0.006503010424258021,2.77558514563743e-17,4.440892098500626e-16,0.0005145263457636112,0.002855635401233412,0.2300004999997327,True
isolated-impact,generalized-alpha-end-detection,0.0015625,0.76,0.02,19.70998632374672,0.0007005703671423913,0.29343749999999996,0.0010330431099580563,1,1,0,0,0,0.08732436703800908,0.0005767781721745128,0.9701399780862769,0.0005767781721749322,0.0011642344755912767,0.0010365656488904372,1.3877939704485508e-17,1.1102230246251565e-16,6.324394207324972e-05,0.002831936806421377,0.5674876000048243,True
isolated-impact,step-end-velocity-projection,0.0125,0.76,0.02,19.70998632374672,0.1567759609701583,0.2950000000000001,0.006363357503515263,1,1,0,0,0,0.06966723533478149,0.20266180957465688,-4.440892098500626e-16,1.0000000000000004,0.006599532963818535,0.9170381813594753,1.3878013375872498e-17,4.440892098500626e-16,0.0026057013299471145,0.0024220141632379615,0.10023479999654228,True
isolated-impact,step-end-velocity-projection,0.00625,0.76,0.02,19.70998632374672,0.15676172689171533,0.295,0.006363357503514885,1,1,0,0,0,0.06964998046063636,0.20285929078746487,0.0,1.0,0.00707192186333066,0.9170334447785515,7.964615491147534e-20,0.0,0.0013870826973509816,0.002411445776426508,0.1383018999986234,True
isolated-impact,step-end-velocity-projection,0.003125,0.76,0.02,19.70998632374672,0.15674896998113905,0.2949999999999995,0.006363357503513181,1,1,0,0,0,0.06964615180546035,0.2029031095636102,0.0,1.0,0.007190087449534804,0.9170440170734789,7.378430054297402e-20,0.0,0.0007040771501216621,0.002313938237542017,0.2217478000020492,True
isolated-impact,step-end-velocity-projection,0.0015625,0.76,0.02,19.70998632374672,0.15494259586359674,0.29343749999999996,0.0010330431099580563,1,1,0,0,0,0.06985948115062493,0.20046156536825407,0.0,1.0,0.001165609506515055,0.9171646952767125,1.0203231749542994e-19,0.0,8.595739643857766e-05,0.0022607527660283215,0.5103361999936169,True
isolated-impact,event-localized-impulse-newmark,0.0125,0.76,0.02,19.70998632374672,0.0008139952754008356,0.2932948651402695,0.0005464583766176745,1,1,0,0,0,0.08737437934052128,4.3897518151333595e-06,0.9706955954438254,4.389751815247083e-06,0.0,7.728407526859791e-05,1.387839373669693e-17,1.1102230246251565e-16,0.00026668219536073184,0.0029588075411928778,0.18243280000024242,True
isolated-impact,event-localized-impulse-newmark,0.00625,0.76,0.02,19.70998632374672,0.00022558830199634705,0.293174812485513,0.00013691060469254152,1,1,0,0,0,0.0873740810842472,7.803280667197511e-06,0.970692281931858,7.803280667681011e-06,0.0,2.5695739889930797e-05,1.38781499660256e-17,2.220446049250313e-16,0.00010931285474573383,0.002994437869906556,0.2047586000044248,True
