StabilityMargin,WidthRatio,StateError,GoalError,Applicable,Radius,InverseJacobianNorm,NewtonCorrectionNorm,ContractionProduct,GoalErrorBound,Reason,BoundVerifiedAgainstSolvedState
1.0,0.08,0.0030064046828147204,0.0012662151350126827,True,0.0030247896264107696,1.617986033760766,0.0030070253973545247,0.011676780230600496,0.0030247896264107696,conditional-contraction-ball,True
1.0,0.04,0.0007507535741968484,0.00031913948548850657,True,0.0007518904300319761,1.6180309914567752,0.000750792746379982,0.0029155342363290184,0.0007518904300319761,conditional-contraction-ball,True
1.0,0.02,0.00018763462399825031,7.994623443730031e-05,True,0.00018770548862272977,1.61803380141866,0.0001876370781203537,0.0007286475235155984,0.00018770548862272977,conditional-contraction-ball,True
1.0,0.01,4.690528302231503e-05,1.9996639910924152e-05,True,4.690970911817497e-05,1.618033977041691,4.690543649725052e-05,0.0001821470159052546,4.690970911817497e-05,conditional-contraction-ball,True
1.0,0.005,1.1726109751500959e-05,4.999789998627602e-06,True,1.1726386336463588e-05,1.6180339880181318,1.172611934505738e-05,4.553582315486342e-05,1.1726386336463588e-05,conditional-contraction-ball,True
0.05,0.08,0.019045786083833626,0.018825907756929827,False,,19.985153087263217,0.02550404125716836,1.2232852052841283,,regularity-ball-or-contraction-condition-failed,False
0.05,0.04,0.005820551754954715,0.005779281769390576,True,0.007931632601902253,19.999071359891932,0.00642184361013062,0.30823418069056396,0.007931632601902253,conditional-contraction-ball,True
0.05,0.02,0.001564738516870692,0.0015554122324489272,True,0.0016754845847655989,19.999941957225126,0.001608110814043305,0.07718909505996517,0.0016754845847655989,conditional-contraction-ball,True
0.05,0.01,0.00039936624184030853,0.0003971002729344364,True,0.00040614889841040954,19.99999637231576,0.0004021899328641838,0.01930511327583743,0.00040614889841040954,conditional-contraction-ball,True
0.05,0.005,0.00010037921048633112,9.981688746268924e-05,True,0.00010080143173496557,19.999999773269685,0.00010055756945037446,0.004826763278899296,0.00010080143173496557,conditional-contraction-ball,True
1e-06,0.08,0.03689080364166692,0.036764667956524166,False,,23834.173375708477,30.213654926263548,1728281.9755833456,,regularity-ball-or-contraction-condition-failed,False
1e-06,0.04,0.018653492493613748,0.01863955317718957,False,,280900.31459911505,89.67214121072102,60453438.42448274,,regularity-ball-or-contraction-condition-failed,False
1e-06,0.02,0.009377542618247242,0.009375909409330918,False,,862069.2413788022,68.92414905510458,142601733.33267242,,regularity-ball-or-contraction-condition-failed,False
1e-06,0.01,0.004701068736580406,0.004700871239848525,False,,990099.0297029555,19.79901010502566,47047153.66575581,,regularity-ball-or-contraction-condition-failed,False
1e-06,0.005,0.0023533727794187048,0.0023533485009608612,False,,999375.3916302304,4.996689572528552,11984564.636160986,,regularity-ball-or-contraction-condition-failed,False
