Case,Method,TimeStep,ImpactCount,MaxRelativeEnergyBalanceResidual,MaxPhysicalMomentumBalanceResidual,MaxConstraintNorm,MaxConstraintWork,MaxTrajectoryErrorRadians,MaxImpactTimeError,MaxPenetration,NewtonIterations,SmoothSolveCount,EventLocalizationSolves,RuntimeSeconds,CacheReused
single-event,newmark,0.08,1,0.00015367919733837496,,0.0,0.0,0.08283078293977322,0.05458013443138143,0.050579839958015904,50,26,0,0.833947300001455,True
single-event,newmark,0.04,1,3.8063909867065417e-05,,0.0,0.0,0.022141915548626517,0.014580134431381842,0.013413776939072058,98,51,0,1.6502420999986498,True
single-event,newmark,0.02,1,9.517208228189012e-06,,0.0,0.0,0.022229202073734494,0.014580134431382064,0.013501063464179897,196,101,0,3.4131411999987904,True
single-event,newmark,0.01,1,2.368983914054197e-06,,0.0,0.0,0.006984912521170977,0.004580134431382277,0.004234374644239286,390,200,0,6.718724199999997,True
single-event,generalized-alpha,0.08,1,8.718819215478674e-05,,0.0,0.0,0.08271409347713923,0.05458013443138143,0.050463150495381914,50,26,0,0.8614828000008856,True
single-event,generalized-alpha,0.04,1,2.0987752634597024e-05,,0.0,0.0,0.02211466845787599,0.014580134431381842,0.013386529848321532,98,51,0,1.5458763999995426,True
single-event,generalized-alpha,0.02,1,5.283182231077462e-06,,0.0,0.0,0.022222381169283933,0.014580134431382064,0.013494242559729336,196,101,0,2.9656708000002254,True
single-event,generalized-alpha,0.01,1,1.3077382819872214e-06,,0.0,0.0,0.006983237529895353,0.004580134431382277,0.004232699652963662,390,200,0,5.889577199999621,True
single-event,event-projection,0.08,1,0.0001490617712122033,,0.0,0.0,0.0004455717890006483,0.0004847440957129745,0.0,66,34,7,1.004119899998841,True
single-event,event-projection,0.04,1,3.746803280065333e-05,,0.0,0.0,0.00011298431636955208,0.0001234981149553782,0.0,114,59,7,1.7744314999999915,True
single-event,event-projection,0.02,1,9.428959514678313e-06,,0.0,0.0,2.8877276655098205e-05,3.125036962137173e-05,0.0,206,106,4,3.1270438999999897,True
single-event,event-projection,0.01,1,2.358831344678396e-06,,0.0,0.0,7.2767576905496956e-06,7.880384449432398e-06,0.0,400,205,4,6.383341000000655,True
single-event,discrete-gradient,0.08,1,9.903146896632495e-13,,0.0,0.0,0.0003906984179059825,0.00042763476029383796,0.0,66,34,7,1.2419769999996788,True
single-event,discrete-gradient,0.04,1,1.6049142362778625e-14,,0.0,0.0,9.867397116322674e-05,0.00010862882456552647,0.0,114,59,7,2.2698849999997037,True
single-event,discrete-gradient,0.02,1,1.1800839972631342e-15,,0.0,0.0,2.5365007089495073e-05,2.7483105673020702e-05,0.0,206,106,4,4.107295199999498,True
single-event,discrete-gradient,0.01,1,2.4457240843278454e-15,,0.0,0.0,6.377712043537098e-06,6.916414095226031e-06,0.0,400,205,4,8.401167400001214,True
production,discrete-gradient,0.004,1,4.0623836414625675e-14,4.9272560012501435e-09,1.9764031516521403e-17,9.641143933111837e-18,,,4.27996527108121e-12,20,10,3,26.859565999999177,True
production,discrete-gradient,0.002,1,5.143927338215589e-14,2.0496595454302527e-09,9.544367249661456e-18,6.7556228368117904e-18,,,2.11924922055573e-12,32,16,3,55.588347599999906,True
production,discrete-gradient,0.001,1,2.053367863033813e-11,1.0242969348380103e-09,2.667327079694526e-15,1.3742999386158492e-16,,,1.9872992140790302e-14,55,29,4,86.9700155999999,True
production,event-projection,0.004,1,2.510532908115042e-06,7.136588564894355e-09,1.2792950360618512e-17,6.511006897925116e-11,,,4.279854248778747e-12,20,10,3,19.803285899999537,True
production,event-projection,0.002,1,6.29566829139335e-07,2.0490134409401182e-09,1.4712327019096756e-17,1.6790321125846026e-11,,,2.119193709404499e-12,32,16,3,31.816817299999457,True
production,event-projection,0.001,1,1.5838496354743014e-07,9.819877395582941e-10,2.276947381996911e-15,4.180252144576635e-12,,,1.9872992140790302e-14,56,29,4,57.31084639999972,True
production,newmark,0.004,1,1.994496451085693e-06,7.869574090360901e-09,1.2792950360618512e-17,9.622832336060368e-11,,,0.00035646196257027585,12,6,0,12.851985199999035,True
production,newmark,0.002,1,5.746009704898001e-07,2.7964961808133567e-09,1.4712327019096756e-17,2.1125666547734246e-11,,,0.00016635315135749007,24,12,0,34.096349600000394,True
production,newmark,0.001,1,1.545456443365557e-07,1.1723299364495853e-09,5.636627334315841e-16,4.650653430383788e-12,,,7.073684453140494e-05,46,24,0,63.77845590000106,True
production,generalized-alpha,0.004,1,0.000945483689786828,1.2731159407420887e-06,1.1434521271459427e-17,1.702411130372176e-11,,,0.00035626817940787037,12,6,0,12.79199299999891,True
production,generalized-alpha,0.002,1,0.00019632494793837227,2.732291061197228e-07,1.4451652629579245e-17,3.733766304297112e-12,,,0.00016631237877945404,24,12,0,29.70954679999886,True
production,generalized-alpha,0.001,1,4.610377630411611e-05,7.235508655883141e-08,5.704395052293868e-15,8.151825954595868e-13,,,7.072626179654984e-05,44,24,0,63.64726679999876,True
near-simultaneous,discrete-gradient,0.04,2,1.5860328923216522e-14,,0.0,0.0,0.0001005097367409169,0.00010862882456574852,0.0,124,64,18,2.6960048000000825,True
repeated,discrete-gradient,0.04,2,1.6851599480917557e-14,,0.0,0.0,0.00018462261053375784,0.00031576496977381296,0.0,230,117,14,4.863326999999117,True
near-simultaneous,discrete-gradient,0.02,2,1.0925871504238216e-15,,0.0,0.0,2.542861210305669e-05,2.748396475560355e-05,0.0,194,100,12,4.301757399998678,True
repeated,discrete-gradient,0.02,2,1.8881343956210147e-15,,0.0,0.0,4.729473104461701e-05,7.95775492710149e-05,0.0,418,212,9,12.513567899999543,True
