Shortening,Metric,Class,Difference,Uncertainty,Budget
0.005,FirstImpactTime,unresolved,,,
0.005,PeakPostReleaseInterfaceMoment,unresolved,,,
0.005,InitialTipDisplacement,unresolved,,,
0.005,CriticalShortening,unresolved,,,
0.005,FoldLocation,unresolved,,,
0.005,ReboundSequenceBoundary,unresolved,,,
0.015,FirstImpactTime,unresolved,,,
0.015,PeakPostReleaseInterfaceMoment,unresolved,,,
0.015,InitialTipDisplacement,unresolved,,,
0.015,CriticalShortening,unresolved,,,
0.015,FoldLocation,unresolved,,,
0.015,ReboundSequenceBoundary,unresolved,,,
