RodSegments,ShellWidthSegments,Stage,ProfileError,ResolvedCoefficientFraction,TransverseErrorFraction,KktCondition,QDoF
16,6,finite-width-dual-mortar,11.266057572800607,0.9941526455154914,0.9911864437558005,3612594.0033235513,858
16,6,selective-finite-width-dual-mortar,1.052433371024631,0.32993931870898585,0.41400259499308983,3612414.4426271725,858
16,6,constant-transverse-mode,0.9729662675827273,0.21601493740035066,0.48439172662201,3665385.6078535896,858
4,6,finite-width-dual-mortar,11.208471429290132,0.994092406864316,0.9870266752917757,3894186.699855324,282
4,6,selective-finite-width-dual-mortar,1.0472017496043282,0.32322760297565295,0.4181494846823967,3884252.2484864644,282
4,6,constant-transverse-mode,0.9737413518540021,0.21726252259864054,0.4836208956749205,3905674.8516350845,282
8,12,finite-width-dual-mortar,5.990209609811295,0.9793167245169935,0.9845062317223493,10903589.376073344,834
8,12,selective-finite-width-dual-mortar,1.1423098554661892,0.4312315366805693,0.35141835111230535,10947784.885912245,834
8,12,constant-transverse-mode,0.9728613102908091,0.21584576757754761,0.4844962496116294,10965772.211285071,834
8,24,finite-width-dual-mortar,4.9706998997819225,0.9699621898799872,0.9807334940140886,38132881.859932475,1554
8,24,selective-finite-width-dual-mortar,0.9684776553283768,0.20873101149446124,0.4888921611512612,38285722.100770466,1554
8,24,constant-transverse-mode,0.9728437908431455,0.21581752445596059,0.4845136998604714,38303100.49124889,1554
8,6,finite-width-dual-mortar,11.178675344338432,0.9940608722269745,0.9908146324972862,3335586.5376538807,474
8,6,selective-finite-width-dual-mortar,1.0330124353748655,0.30450781187552894,0.42971566414878154,3328807.548676404,474
8,6,constant-transverse-mode,0.972904463849732,0.21591532897161778,0.4844532705226297,3355898.306157895,474
