Id,Mesh,QDoF,Method,Dt,FirstImpact,Detachments,MacroSequence,PhysicalEnergyResidual,AccountedEnergyResidual,AngularResidual,LinearResidual,StopViolationRad,Constraint,NewtonIterations,Runtime,LastInvocationRuntime,ResumeCount,RuntimeScope,NumericalGatesPassed
wing-m1-h20-nm,1x1,73,newmark,0.02,0.20502772519895182,0.31078371,release>impact-cluster>accumulated-tail>persistent-contact>detachment,0.008737096296539883,0.00873539701942825,0.0020849093751040926,0.00011705758118026567,0.0,5.3361167681684626e-14,220,865.0579610000023,161.45179690000077,1,cumulative-integration-wall-time; excludes preload and repeated startup,True
wing-m1-h20-ga,1x1,73,generalized-alpha,0.02,0.20590909219944564,0.314234018,release>impact-cluster>accumulated-tail>persistent-contact>detachment,0.03581084837585881,0.03578345302951388,0.005690588921559435,0.07211916835872545,5.1831369057842025e-12,5.5629740503013295e-14,188,777.8615920999982,149.6782899000009,1,cumulative-integration-wall-time; excludes preload and repeated startup,True
wing-m1-h20-rdg,1x1,73,rattle-discrete-gradient,0.02,0.20500417354988962,0.310855611,release>impact-cluster>accumulated-tail>persistent-contact>detachment>impact-cluster,0.004060376387441246,3.378846423176801e-12,0.011067253763708755,0.08099326843389676,3.196685971484925e-12,5.374702426346309e-13,232,1045.6934635000016,218.13611889999993,1,cumulative-integration-wall-time; excludes preload and repeated startup,True
wing-m1-h10-nm,1x1,73,newmark,0.01,0.2071161261850369,0.299070478;0.349549718,release>impact-cluster>accumulated-tail>persistent-contact>detachment>impact-cluster>accumulated-tail>persistent-contact>detachment,0.0025259105490332005,0.0025251008156035363,0.0005396149236266399,4.1430527491137075e-05,1.9081958235744878e-17,1.2068593430726244e-15,331,1089.8986334999972,484.9618002999996,1,cumulative-integration-wall-time; excludes preload and repeated startup,True
wing-m1-h10-ga,1x1,73,generalized-alpha,0.01,0.2075894872195379,0.300390023;0.350696337,release>impact-cluster>accumulated-tail>persistent-contact>detachment>impact-cluster>accumulated-tail>persistent-contact>detachment,0.018067036713926555,0.01805921540071218,0.0018187145631826153,0.02271536833142072,0.0,8.482219276052309e-14,301,1048.8338483999996,443.34913659999984,1,cumulative-integration-wall-time; excludes preload and repeated startup,True
wing-m1-h10-rdg,1x1,73,rattle-discrete-gradient,0.01,0.20706742609578707,0.299213924;0.349169928,release>impact-cluster>accumulated-tail>persistent-contact>detachment>impact-cluster>accumulated-tail>persistent-contact>detachment,0.002099169070406681,5.256879266550878e-13,0.0029162743283474993,0.025691174003299233,0.0,2.76622452903357e-15,336,1319.758084399995,598.8675896999994,1,cumulative-integration-wall-time; excludes preload and repeated startup,True
wing-m1-h05-nm,1x1,73,newmark,0.005,0.20760233275034182,0.296058035;0.343121279,release>impact-cluster>accumulated-tail>persistent-contact>detachment>impact-cluster>accumulated-tail>persistent-contact>detachment,0.0007841390039888589,0.0007840393738923251,0.00011431260013943013,8.702625920329079e-06,2.3080108570855407e-11,7.388728029973121e-16,383,1277.2908019000024,614.1090138,1,cumulative-integration-wall-time; excludes preload and repeated startup,True
wing-m1-h05-ga,1x1,73,generalized-alpha,0.005,0.20761754524621184,0.296560992;0.343459581,release>impact-cluster>accumulated-tail>persistent-contact>detachment>impact-cluster>accumulated-tail>persistent-contact>detachment,0.0036325221862538067,0.0036310722669003212,0.00047832197256304017,0.006551312868910484,0.0,1.7686004617345413e-12,355,1229.0984193000022,619.6609162999994,1,cumulative-integration-wall-time; excludes preload and repeated startup,True
wing-m1-h05-rdg,1x1,73,rattle-discrete-gradient,0.005,0.2075905947594245,0.296150886;0.34308778,release>impact-cluster>accumulated-tail>persistent-contact>detachment>impact-cluster>accumulated-tail>persistent-contact>detachment,0.0006520735782527601,4.817826939256276e-13,0.0007403774870188607,0.0065402970845194475,0.0,9.577659486212322e-16,396,1549.3238717000004,791.3301039999988,1,cumulative-integration-wall-time; excludes preload and repeated startup,True
wing-m2-h10-rdg,2x2,145,rattle-discrete-gradient,0.01,0.19277760015148449,0.296155871,release>impact-cluster>accumulated-tail>persistent-contact>detachment,0.0023304078400694503,1.4782248672959408e-12,0.0013620309695231102,0.013897085795114783,1.366962099069724e-15,1.2218310422171881e-14,266,2088.321986700006,111.2688431000006,2,cumulative-integration-wall-time; excludes preload and repeated startup,True
