Point,HingeAngleRad,CableRestLengthM,CableLengthM,CableTensionN,CableExtensionM,ReducedHingeTangent,KktMinimumSingularValue,ResidualNorm,CorrectorIterations,ArcStep,RestLengthPathTangent,CableActive,LowerStopActive,UpperStopActive
0,0.98,0.031402939162750505,0.07022264504222249,58.22955881920798,0.038819705879471984,0.6278573589504917,0.00012848506270902717,6.460349496741213e-15,0,0.0,0.104020987315891,True,False,False
1,0.9565259346909504,0.03162000278477725,0.06923661885647975,56.42492410757342,0.0376166160717025,0.5376197510098191,0.00011163988494977174,2.119196860953951e-09,2,0.075,0.08895580589490705,True,False,False
2,0.9293407174731269,0.031828133796155754,0.06808488936706504,54.38513335639921,0.03625675557090929,0.4357622591404611,9.201101175754833e-05,5.23627819283662e-09,2,0.08625,0.07196982545658175,True,False,False
3,0.8978468117881817,0.03201384996033104,0.06673785969912076,52.08601460826895,0.03472400973878972,0.32133238922037366,6.915023634570554e-05,1.2364372039079586e-08,2,0.09918749999999998,0.05293702024137157,True,False,False
4,0.8658690959014211,0.03214463238609971,0.06535664539784161,49.818019517677214,0.033212013011741905,0.20910468755503953,4.58587909135982e-05,9.745392336649825e-09,2,0.1,0.03434804038257962,True,False,False
5,0.8336881915756765,0.032220612535253504,0.06395351195245841,47.59934912584487,0.031732899417204904,0.1002481210234909,2.2400219955241662e-05,7.0561928647767105e-09,2,0.1,0.016414147645601004,True,False,False
6,0.8013263110607642,0.03224382768947828,0.0625298115948225,45.42897585804255,0.03028598390534422,-0.005014318264251472,1.1412952536154656e-06,5.024673805845102e-09,2,0.1,-0.0008182055499889119,True,False,False
7,0.7688041863575561,0.03221644536967203,0.061086914754654595,43.30570407749045,0.028870469384982562,-0.10645360220477951,2.4674421418848888e-05,3.525657317249478e-09,2,0.1,-0.01730850998483183,True,False,False
8,0.7361409886195096,0.03214074672374409,0.059626204982421147,41.228187388022356,0.027485458258677056,-0.20383181873201517,4.810008471262779e-05,2.5874881404662814e-09,2,0.1,-0.03302134282923963,True,False,False
9,0.7033542812772254,0.03201911278279064,0.058149075916903825,39.19494470117378,0.026129963134113185,-0.2968986471334061,7.131064268882152e-05,1.875969648632199e-09,2,0.1,-0.047925319027601054,True,False,False
10,0.6704600021832292,0.03185401413006478,0.056656930359211634,37.20437434372477,0.024802916229146856,-0.38538705438890286,9.41887519071518e-05,1.3450736311263644e-09,2,0.1,-0.06199186963833954,True,False,False
11,0.6374724698790124,0.0316480044887738,0.05515118150488326,35.2547655241643,0.02350317701610946,-0.46900807321870097,0.00011660585043246234,9.572389518203912e-10,2,0.1,-0.07519385303628799,True,False,False
12,0.6044044092181909,0.03140371874077645,0.05363325639777964,33.34430648550208,0.02222953765700319,-0.5474444741965638,0.00013842015284985402,6.784019786717285e-10,2,0.1,-0.08750398831465407,True,False,False
13,0.5712669919851636,0.031123875949929485,0.05210460170464441,31.471088632073755,0.020980725754714928,-0.6203430817251943,0.0001594740272042286,4.804360552763961e-10,2,0.1,-0.098893079640559,True,False,False
14,0.538069888793894,0.03081128809458062,0.05056669196921712,29.63310581195627,0.0197554038746365,-0.6873054027054994,0.00017959058681104833,3.4183638256466163e-10,2,0.1,-0.10932797467066925,True,False,False
