Restitution,IncomingNormalSpeed,OutgoingNormalSpeed,Captured,ExpectedCapture,RestitutionError,EnergyLossError,MomentumBalanceError,Passed
0.0,0.1,0.0,True,True,0.0,1.3552527156068805e-20,2.202285662861181e-20,True
0.0,0.25,0.0,True,True,0.0,0.0,6.776263578034403e-20,True
0.0,0.5,0.0,True,True,0.0,0.0,1.3552527156068805e-19,True
0.0,1.0,0.0,True,True,0.0,0.0,2.710505431213761e-19,True
0.0,2.0,0.0,True,True,0.0,0.0,5.421010862427522e-19,True
0.0,4.0,0.0,True,True,0.0,0.0,1.0842021724855044e-18,True
0.02,0.1,0.0020000000000000018,True,True,1.734723475976807e-18,6.776263578034403e-21,1.8634724839594607e-20,True
0.02,0.25,0.0050000000000000044,True,True,4.336808689942018e-18,0.0,5.421010862427522e-20,True
0.02,0.5,0.010000000000000009,True,True,8.673617379884035e-18,0.0,1.0842021724855044e-19,True
0.02,1.0,0.020000000000000018,True,True,1.734723475976807e-17,0.0,2.168404344971009e-19,True
0.02,2.0,0.040000000000000036,True,True,3.469446951953614e-17,0.0,4.336808689942018e-19,True
0.02,4.0,0.08000000000000007,False,False,6.938893903907228e-17,0.0,8.673617379884035e-19,True
0.05,0.1,0.0050000000000000044,True,True,3.469446951953614e-18,2.0328790734103208e-20,1.0842021724855044e-19,True
0.05,0.25,0.012500000000000011,True,True,1.0408340855860843e-17,5.421010862427522e-20,1.0842021724855044e-19,True
0.05,0.5,0.025000000000000022,True,True,2.0816681711721685e-17,2.168404344971009e-19,2.168404344971009e-19,True
0.05,1.0,0.050000000000000044,True,True,4.163336342344337e-17,8.673617379884035e-19,4.336808689942018e-19,True
0.05,2.0,0.10000000000000009,False,False,8.326672684688674e-17,3.469446951953614e-18,8.673617379884035e-19,True
0.05,4.0,0.20000000000000018,False,False,1.6653345369377348e-16,1.3877787807814457e-17,1.734723475976807e-18,True
0.1,0.1,0.010000000000000009,True,True,6.938893903907228e-18,2.0328790734103208e-20,1.5246593050577406e-20,True
0.1,0.25,0.025000000000000022,True,True,2.0816681711721685e-17,5.421010862427522e-20,4.743384504624082e-20,True
0.1,0.5,0.050000000000000044,True,True,4.163336342344337e-17,2.168404344971009e-19,9.486769009248164e-20,True
0.1,1.0,0.10000000000000009,False,False,8.326672684688674e-17,8.673617379884035e-19,1.8973538018496328e-19,True
0.1,2.0,0.20000000000000018,False,False,1.6653345369377348e-16,3.469446951953614e-18,3.7947076036992655e-19,True
0.1,4.0,0.40000000000000036,False,False,3.3306690738754696e-16,1.3877787807814457e-17,7.589415207398531e-19,True
0.25,0.1,0.024999999999999994,True,True,6.938893903907228e-18,1.3552527156068805e-20,3.3881317890172014e-20,True
0.25,0.25,0.0625,False,False,0.0,2.710505431213761e-20,8.131516293641283e-20,True
0.25,0.5,0.125,False,False,0.0,1.0842021724855044e-19,1.6263032587282567e-19,True
0.25,1.0,0.25,False,False,0.0,4.336808689942018e-19,3.2526065174565133e-19,True
0.25,2.0,0.5,False,False,0.0,1.734723475976807e-18,6.505213034913027e-19,True
0.25,4.0,1.0,False,False,0.0,6.938893903907228e-18,1.3010426069826053e-18,True
0.5,0.1,0.05000000000000002,True,True,1.3877787807814457e-17,1.3552527156068805e-20,3.7269449679189215e-20,True
0.5,0.25,0.125,False,False,0.0,2.710505431213761e-20,6.776263578034403e-20,True
0.5,0.5,0.25,False,False,0.0,1.0842021724855044e-19,1.3552527156068805e-19,True
0.5,1.0,0.5,False,False,0.0,4.336808689942018e-19,2.710505431213761e-19,True
0.5,2.0,1.0,False,False,0.0,1.734723475976807e-18,5.421010862427522e-19,True
0.5,4.0,2.0,False,False,0.0,6.938893903907228e-18,1.0842021724855044e-18,True
