Point,HingeAngleRad,LoadParameter,ResidualNorm,CorrectorIterations,ArcStep,LoadTangent,MinimumConstrainedEigenvalue,SecondConstrainedEigenvalue,ConstraintRank,ConstraintCount,TangentNullity,HingeModeParticipation
0,-0.95,-1.4591999999999998,2.163822393639008e-13,0,0.0,0.935647174696459,287.3534676830983,572.1336215077127,24,24,25,0.29287020606282704
1,-0.9317231158321844,-1.3285863714408392,1.4164069817906848e-08,2,0.14,0.9300559366570881,276.3207752572962,577.389547266379,24,24,25,0.2960705270872701
2,-0.9091569112390192,-1.1755509103157828,1.913771925628119e-13,3,0.1652,0.9223171771841403,262.7903398663212,584.1377847322677,24,24,25,0.29991730368753544
3,-0.8853794350573466,-1.0239143841733618,4.8283494756717946e-14,3,0.1652,0.9130176275535294,248.65330235003935,591.5549503480639,24,24,25,0.3038502917914744
4,-0.8602279434462811,-0.8739698844050944,2.2823143304870156e-13,3,0.1652,0.9016914119169718,233.84596072846236,599.7391747820473,24,24,25,0.3078810972607071
5,-0.8335056515296094,-0.7261012365238533,1.0406733356843724e-13,3,0.1652,0.8876871997887873,218.29488764804992,608.8097455646281,24,24,25,0.31202253821551834
6,-0.8049728702782163,-0.5808203099873573,1.9069078114016283e-13,3,0.1652,0.870077017466891,201.9158691947921,618.9125573726966,24,24,25,0.3162887213804938
7,-0.7743361596013288,-0.4388230862336365,4.0724942027894427e-14,3,0.1652,0.8475144162823252,184.61362719754663,630.2267025631861,24,24,25,0.32069488152843634
8,-0.7412361645841908,-0.3010748349422699,1.2286248737231592e-13,3,0.1652,0.8180159035019343,166.2836752400819,642.9716687859934,24,24,25,0.3252566855275222
9,-0.7052370650499186,-0.16893941011733538,3.8591174098661734e-13,3,0.1652,0.7786388215935427,146.81928977904187,657.4130635784703,24,24,25,0.3299883727498606
10,-0.6658264126597967,-0.04437027114219551,1.408249928384248e-12,3,0.1652,0.7250683276887262,126.12989648538023,673.8608440887535,24,24,25,0.33489846332533485
11,-0.6224474999002397,0.06983185691666949,4.676483717013626e-12,3,0.1652,0.6513125374941423,104.18306469967631,692.6450610803582,24,24,25,0.33998070647126827
12,-0.5746104765873674,0.16975887430928588,1.1258824435704324e-11,3,0.1652,0.5502746452370253,81.08888719596948,714.037909954762,24,24,25,0.3451970085072594
13,-0.5221455299921527,0.2504026927060374,1.2666225014363313e-11,3,0.1652,0.41696624733997995,57.23710417853756,738.0785822098765,24,24,25,0.3504516290846268
14,-0.4655795949452826,0.30651621214807073,3.5945994272829516e-12,3,0.1652,0.2555106272490086,33.429734056883916,764.3088045633301,24,24,25,0.355570253616669
15,-0.40632443080562947,0.3346819012844848,1.669511337347192e-13,3,0.1652,0.0841605707991378,10.822002232650679,791.6195582410497,24,24,25,0.36032115849619856
16,-0.3462321003103493,0.3352893186839128,4.952202354611091e-14,3,0.1652,-0.07274785559481357,-9.453362436890687,818.5124071725946,24,24,25,0.364495883250651
17,-0.28678453832375284,0.312255255204941,1.935800543261677e-08,2,0.1652,-0.19980744408376783,-26.683564495563395,843.6351572285793,24,24,25,0.36798266047965117
18,-0.22008554504865074,0.263442293796839,4.233633915632712e-14,3,0.19,-0.3061480882844935,-42.4492176842581,869.1819621455223,24,24,25,0.37112597377288775
19,-0.15534758495968962,0.19803318796280886,4.8592710308858945e-14,3,0.19,-0.376324569851345,-53.9548295821046,890.3102203568639,24,24,25,0.3733924469867489
20,-0.09217281830754884,0.12211178010958106,2.7259606298899817e-14,3,0.19,-0.4183627105364832,-61.434511664899034,906.1691597540279,24,24,25,0.3748537251928627
21,-0.02996775546799098,0.04043028368614886,1.2798997416482419e-14,3,0.19,-0.4378785038413787,-65.0908650496703,915.1363477954496,24,24,25,0.37556462914374616
22,0.031916887645721086,-0.04304758988465891,3.1586851445965862e-09,2,0.19,-0.43757335534007424,-65.03270343424748,914.9835471669512,24,24,25,0.37555333829649223
23,0.09414001678924079,-0.12460753919082532,2.801427632591959e-13,3,0.19,-0.4174061418503002,-61.258496998614625,905.7640906853704,24,24,25,0.3748194462538814
24,0.1573488099303876,-0.20026921087810348,8.348116061237195e-14,3,0.19,-0.3745904366554597,-53.656768429865934,889.7228101939802,24,24,25,0.37333401934811244
25,0.2221304057086815,-0.26524722028486086,8.454595024295846e-13,3,0.19,-0.3034289374258712,-42.02393747895702,868.4499011290062,24,24,25,0.3710417589452242
26,0.2888678486118786,-0.3134150212726637,8.582874584341928e-13,3,0.19,-0.1958759979649408,-26.129330027429155,842.7875006470546,24,24,25,0.36787135003077054
27,0.35740265452340664,-0.33711744345548506,7.927964937094452e-14,3,0.19,-0.04553659906063334,-5.896022382819432,813.605902324249,24,24,25,0.3637691223310743
28,0.42650950607600874,-0.32836406094926807,3.196793557917803e-14,3,0.19,0.14153222243480978,18.242174217628616,782.371751695262,24,24,25,0.35877325188120807
29,0.49371747943077077,-0.28239541875475993,1.962658254632802e-14,3,0.19,0.3372462162689033,45.01300039849113,751.2478230597803,24,24,25,0.3530950843051156
30,0.5563409770225055,-0.2011456896120449,2.907046407665246e-12,3,0.19,0.506298472516892,72.6001937655752,722.3552954844145,24,24,25,0.347082113297719
31,0.6129465661502167,-0.09178802657178581,2.321989083365389e-11,3,0.19,0.6329130916759987,99.50025355707498,696.8428537679226,24,24,25,0.34104905020634685
32,0.6635322388442229,0.037741781652849235,2.293099350065456e-11,3,0.19,0.7215735187704003,124.9468075356779,674.8373461514001,24,24,25,0.3351756747854624
33,0.7088066832546365,0.18124337549148867,8.942352362230198e-12,3,0.19,0.7829237609089078,148.72610371662833,655.9552962879482,24,24,25,0.3295297606455407
34,0.7496221731485209,0.33447158455446463,2.2428487598780046e-12,3,0.19,0.8260486579886345,170.88998887218347,639.6929604456037,24,24,25,0.3241202197964065
35,0.7867449916459421,0.49462388716579025,4.927818505756704e-13,3,0.19,0.8571536550598886,191.58434327864515,625.5870059581782,24,24,25,0.31893176331941364
36,0.8208031952493862,0.6598414175486784,3.995164376442239e-14,3,0.19,0.8802148141832373,210.97310079102007,613.2547673997377,24,24,25,0.31394141517867646
37,0.8522962593064907,0.8288653768156864,1.8378912101756273e-14,3,0.19,0.8977616136842664,229.20988293808335,602.3914684660815,24,24,25,0.30912532975648793
38,0.8816192294950831,1.0008211058359833,2.4327174136175855e-13,3,0.19,0.9114273998366001,246.42965627089328,592.7565034927624,24,24,25,0.30446125824654985
39,0.9090861042386728,1.1750848290141356,1.1580541638749507e-13,3,0.19,0.92229131248115,262.748053324645,584.1594066972675,24,24,25,0.29992919662327067
40,0.9349487884157143,1.3512006653084054,2.2445531380740313e-14,3,0.19,0.9310843599803288,278.26328700988796,576.4482553744176,24,24,25,0.29551131025615857
41,0.9594115731538032,1.5288279193066694,2.3059589186120153e-13,3,0.19,0.9383139997523992,293.0586795166467,569.5007309202025,24,24,25,0.2911915889771611
