Step,LegacyRelativeEnergyError,NonsmoothRelativeEnergyError,NonsmoothBeforeImpactAccounting
1,0.01057513772031396,1.6516870193757246e-06,1.6516870193757246e-06
2,3.255369147794128e-06,2.3367897760506155e-05,2.3367897760506155e-05
3,2.2026241400548933e-05,9.506676730125929e-05,9.506676730125929e-05
4,0.0003972705665627531,0.0008423884293960247,0.0008423884293960247
5,0.0008078114390442247,0.0006955764173578283,0.0006955764173578283
6,0.00024254270973428013,0.00032545173389320753,0.00032545173389320753
7,0.0006390055621726745,0.0010344313403600827,0.0010344313403600827
8,0.000644466725107571,4.5835139127922e-05,4.5835139127922e-05
9,0.0007986867789440029,0.0018112559806431755,0.0018112559806431755
10,0.0014912583039195203,0.0010159558622557345,0.0010159558622557345
11,0.00012913820042921922,0.0008980336423240823,0.0008980336423240823
12,0.0011915833853046592,0.0016127429249204808,0.0016127429249204808
13,0.0013110797294884416,0.0008587407129423963,0.0008587407129423963
14,0.2312859941573722,8.918325294196561e-05,0.22668890885284135
15,6.481935659959586e-05,0.00012375247392686816,0.00012375247392686816
16,0.08993289444027544,0.00017808082639338927,0.00017808082639338927
17,1.4907101707271767e-05,0.00011400459521761027,0.00011400459521761027
18,0.04540891212678983,2.4078701730494044e-06,2.4078701730494044e-06
