CaseId,RodSegments,ShellTraceSegments,ConnectionWidth,Eccentricity,TrackCount,RotationCoupling,MultiplierBasis,QuadratureCount,MultiplierModeCount,MultiplierDofCount,QuadratureMeasure,ExpectedMeasure,MeasureError,QDof,KktSize,ReferenceResidualNorm,ConstraintRank,ConstraintRowCount,DiscreteConstraintStabilityProxy,ReferenceKktRawRank,LoadedKktRawRank,ReferenceKktScaledRank,LoadedKktScaledRank,EquilibratedLoadedKktCondition,Converged,NewtonIterations,ResidualNorm,WeakConstraintNorm,PointwiseTranslationGapMax,PointwiseRotationGapMax,WeightedTranslationGapL2,WeightedRotationGapL2,RigidMotionObjectivityError,PowerDefect,ForceBalanceError,MomentBalanceError,TangentRelativeError,RightEdgeMeanDeflection,RuntimeSeconds,ConfigurationHash,Passed
line-reference,2,3,0.0,0.0,1,full,piecewise-constant-on-common-refinement,4,4,24,1.0,1.0,0.0,66,90,5.095923683029467e-14,24,24,0.29516152020692704,90,90,90,90,1007.1258192129749,True,2,1.0800512926725481e-13,1.8503717077085944e-17,1.1102230251421518e-16,1.5870128895511888e-20,4.532466539475273e-17,1.1398503782317932e-20,5.551115123125783e-17,0.0,5.419137911829906e-23,1.9124212563341918e-16,1.2670416029728647e-10,-7.329191069651027e-05,1.3388503000023775,6d7cbb7783a68ad41f20fdedc7c5d801134f7388f8437c07bb230d9c9932b1d1,True
line-eccentric,2,3,0.0,0.04,1,full,piecewise-constant-on-common-refinement,4,4,24,1.0,1.0,0.0,66,90,5.095923683029467e-14,24,24,0.29487862818930016,90,90,90,90,969.2139993014721,True,2,9.882005466810393e-14,7.401486830834378e-17,2.2213908513194183e-16,2.048953077027371e-20,1.2926553993394697e-16,1.5188283995468476e-20,5.551115123125783e-17,5.082197683525802e-21,2.3079122117540544e-19,2.3385571842173435e-15,1.1495939257929783e-10,-7.214349002237227e-05,1.3165592000004835,f000b357443ebcaf53d48b6a20374bfbca9e5973e95858a699c9de6995201392,True
mesh-r2-s3,2,3,0.16,0.04,3,full,p0-rod-trace-times-p1-width,12,4,24,0.16,0.16,0.0,66,90,5.095923683029467e-14,24,24,0.7255748409954343,90,90,90,90,855.095354866421,True,2,1.798144424157433e-13,4.111940881190396e-18,1.1261512169635732e-06,7.823840425193134e-06,6.562773119561954e-07,4.938299257076464e-06,1.091719270861649e-16,1.0164395367051604e-20,4.383671699735241e-19,3.374992139652201e-17,9.587890026744999e-11,-2.4631503164521352e-05,2.3235399999975925,95d9e5efa96fc84113939c1ca5b357135990c3d20c87b1322dcc473d2dbbb44f,True
mesh-r3-s5,3,5,0.16,0.04,3,full,p0-rod-trace-times-p1-width,21,6,36,0.16,0.16,0.0,96,132,4.822808818971681e-14,36,36,0.6522203824074152,132,132,132,132,1766.7338937715665,True,2,1.6248401617778054e-13,1.9408324827969513e-18,5.54498239740055e-07,3.690534985684199e-06,2.5134075024291004e-07,1.7540430781739895e-06,2.1784773443666205e-16,3.3881317890172014e-21,1.75309220411029e-19,3.2547113485645804e-17,,-2.378638074326232e-05,3.844169399999373,9e7a42d0f850e3506895fa28dd75694b60115dcdfcc1efa1ca03e20a83eca9b2,True
mesh-r4-s7,4,7,0.16,0.04,3,full,p0-rod-trace-times-p1-width,30,8,48,0.16000000000000006,0.16,5.551115123125783e-17,126,174,8.650897996947983e-14,48,48,0.6079082161722608,174,174,174,174,3018.9164011026764,True,2,2.575751433973525e-13,2.1852003830182173e-18,3.689344209089363e-07,2.483896782071148e-06,1.3386115497283207e-07,9.538443094854632e-07,1.6233658320540422e-16,6.776263578034403e-21,1.0365690064093646e-19,1.4304434599768048e-16,,-2.3440651785333322e-05,5.649234799995611,01fa6fd3c6771a0c64ff3f25a173ec91856b67a527cf4c62796320ad0c52558c,True
mesh-r6-s11,6,11,0.16,0.04,3,full,p0-rod-trace-times-p1-width,48,12,72,0.16,0.16,0.0,186,258,3.928170919855556e-14,72,72,0.5656156999840355,256,256,258,258,6734.4099823200695,True,2,3.3314974043352485e-13,4.126889702952945e-18,1.7977807323802267e-07,2.0747515648443886e-06,5.996655726511874e-08,6.188716162377367e-07,1.1601562172656917e-16,1.6940658945086007e-21,4.92620846693978e-19,2.4807505046208103e-16,,-2.3150514571032425e-05,8.94651259999955,a89075fe2890d57b42a23f25f994772635a33eae1902ba163cb4197250c18a13,True
stiffness-1e-02,2,3,0.16,0.04,3,full,p0-rod-trace-times-p1-width,12,4,24,0.16,0.16,0.0,66,90,5.095923683029467e-14,24,24,0.7255748409954343,90,90,90,90,10131.526065843676,True,3,1.0642401131362444e-13,3.1254456962499615e-18,3.872655094515073e-05,0.0009088972141163536,2.6683986031670473e-05,0.0006060831288799457,1.091719270861649e-16,0.0,4.355825238257497e-19,1.204060430076335e-17,,-0.0010877669998014521,3.033467200002633,377527b66ed7cc971e2d5ae50e36c6212c7addadd24d7cf79dfc97c156f2502f,True
stiffness-1e+00,2,3,0.16,0.04,3,full,p0-rod-trace-times-p1-width,12,4,24,0.16,0.16,0.0,66,90,5.095923683029467e-14,24,24,0.7255748409954343,90,90,90,90,855.095354866421,True,2,1.798144424157433e-13,4.111940881190396e-18,1.1261512169635732e-06,7.823840425193134e-06,6.562773119561954e-07,4.938299257076464e-06,1.091719270861649e-16,1.0164395367051604e-20,4.383671699735241e-19,3.374992139652201e-17,,-2.4631503164521352e-05,2.322451699998055,95d9e5efa96fc84113939c1ca5b357135990c3d20c87b1322dcc473d2dbbb44f,True
stiffness-1e+02,2,3,0.16,0.04,3,full,p0-rod-trace-times-p1-width,12,4,24,0.16,0.16,0.0,66,90,5.095923683029467e-14,24,24,0.7255748409954343,90,90,90,90,902.161948183273,True,2,3.152028533553117e-11,2.9605947684798203e-18,4.7196257268727116e-07,3.314967134448476e-06,2.561153300724452e-07,1.922289470450323e-06,1.091719270861649e-16,6.776263578034403e-21,4.336829886393415e-19,1.0205665919097905e-14,,-7.232148910689489e-07,2.4363984000010532,09047dc953661317ba3e584df835c1fc1e4e6b068b0d5470ec1a2c2a33ad8a5b,True
track-2,2,3,0.16,0.04,2,full,p0-rod-trace-times-p1-width,8,4,24,0.16,0.16,0.0,66,90,5.095923683029467e-14,24,24,0.7222274901295983,90,90,90,90,851.1365504226317,True,2,5.807181992223409e-14,5.921185472142412e-18,1.0189378909801858e-06,7.502554290628176e-06,6.047576605284947e-07,4.861395977762844e-06,1.085256428304889e-16,3.3881317890172014e-21,8.86733059102186e-19,7.0467877112413e-17,,-2.4569455029005735e-05,1.9054332000014256,d042b96384df3fb034abb82082e489623aa626093b21eb10a9c24310e68edbdf,True
